Contract Reference,Customer,Customer Number,Item Description,Network Item Number,Manufacturer Part Number,Manufacturer,UOM,Case/Pack,UPC,Contract Number,Manufacturer Tier,Origin,Valid From,Valid To,Cost,Markup Percent,Network Tier,Network Markup Tier,GTM Markup Percent,Cost Fee Before Markup,GTM Fee Before Markup,Cost Fee After Markup,GTM Fee After Markup,Total Markup,Markup Dollar,GTM Fee,Final Price,Previous Price,Difference,Percent Change,Status,Contracted,Exclusion Reason,Network Tier,Product Category
88888,&Pizza,381000000,Spray Bottle 32oz Plastic w/Graduations,1002502,5032WG,Impact Products,EA,1,729661106875,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,0.89,0.89,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,"Pizza Napkin Dispenser 13""12""",1004987,Z63282D3,Essity,CS,6000,55000010049877,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,67.5,67.5,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,"enMotion Roll Towel 8.25"" x 700' Ppr Brn",1024956,89440,Georgia Pacific Corporation,CS,6,10073310894406,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,52.4,52.4,0,0,NO CHANGE,N,,,Towel & Tissue
88888,&Pizza,381000000,First Aid Kit 50 Person Wht,1027439,7850,Impact Products,EA,1,729661165629,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,49.95,49.95,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Bagcraft PanLiner 16.37x24.37Slcn GrsPrf,1040295,32027,Bagcraft Papercon,CS,1000,10787074001245,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,68.13,68.13,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,"A-T Liner 40""x46"" 45gl Repro Blk 1.2 Mil",1055320,A-T4047H,Aluf Plastics Division,CS,100,735692006275,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,21.29,21.29,0,0,NO CHANGE,N,,,Can Liners
88888,&Pizza,381000000,"Scrubble Broom Angle 12"" Large /2-6 Pk",1077359,B410A,ACS Industries Inc.,EA,1,55000010773598,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,7.32,7.32,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,Bowl Brush Combo 16x4.75 Plas Wht Deluxe,1080639,333,Impact Products,EA,1,729661147748,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,6.54,6.54,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,"Smazer Trigger Sprayer 10"" Plas RedWht",1083909,4906,Impact Products,EA,1,729661166565,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,0.92,0.92,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,Insta-Test QAC Test Strip,1085764,2951-100,LAMOTTE CHEMICAL,CS,100,637395035975,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,8.51,8.51,0,0,NO CHANGE,N,,,Chemicals
88888,&Pizza,381000000,NetCare DustMop 5x36 SnapOn Wire Frame,1164352,662,Private Label,EA,1,611136006622,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,5.25,5.25,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,&pizza Register Tape Therm 3.125X273,1179159,9091-5588,Private Label,CS,50,55000011791591,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,99.95,99.95,0,0,NO CHANGE,N,,,Other
88888,&Pizza,381000000,"NetCare Wet Mop Handle 60"" Fbrgls JawHd",1213787,657,Private Label,EA,1,611136006578,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,9.89,9.89,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,"Chesapeake Bath Tissue 4"" x 3.2""",1221779,461172,Private Label,CS,96,840239100382,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,33.05,33.05,0,0,NO CHANGE,N,,,Towel & Tissue
88888,&Pizza,381000000,Chesapeake Folded Towel Wht Multifold,1225434,MFW,Private Label,CS,4008,840239100436,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,19.04,19.04,0,0,NO CHANGE,N,,,Towel & Tissue
88888,&Pizza,381000000,130481 Chepk HW PP Bulk Blk Knife,1225507,130481,Private Label,CS,1000,840239100061,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,21.6,21.6,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,130482 Chepk HWPP Bulk Blk Teaspoon,1225508,130482,Private Label,CS,1000,840239100078,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,21.6,21.6,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,130480 Chepk HW PP Bulk Blk Fork,1225509,130480,Private Label,CS,1000,840239100054,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,21.6,21.6,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Chesapeake Cup Lid 12-20ozPET FltStrwSlt,1229178,100354,Private Label,CS,1000,840239100993,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,27.3,27.3,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Sm,1232940,330934,Private Label,CS,1000,10840239100211,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Md,1232941,330935,Private Label,CS,1000,10840239100228,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Lg,1232942,330936,Private Label,CS,1000,10840239100235,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake XL,1232943,330937,Private Label,CS,1000,10840239100242,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,"Register Tape 3"" x 100' Carbonless 2-Ply",1237829,300100C,HEARTLAND LABEL,CS,50,55000012378296,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,46.45,46.45,0,0,NO CHANGE,N,,,Other
88888,&Pizza,381000000,&pizza Cold Cup 20 oz PET Custom Color,1248130,ANDCUP20,Private Label,CS,1000,840239101600,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,84.41,84.41,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Chesapeake Portion Cup 2oz Plastic Clr,1255735,200APS,Private Label,CS,2500,840239101648,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,34.25,34.25,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Chesapeake Portion Cup Lid 1.5-2 oz,1255743,200APL,Private Label,CS,2500,840239101723,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,32.52,32.52,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,"Label 3"" Use First UltraremvbleDot 500RL",1261419,UF4911,National Checking Co,EA,500,18291268849,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,11.75,11.75,0,0,NO CHANGE,N,,,Other
88888,&Pizza,381000000,Chesapeake Scour Pad Grn GP,1275329,CH9620,Private Label,CS,20,840239102652,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,5.78,5.78,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,enMotion Tranquil Aloe Soap Foam 1200mL,1283347,42715,Georgia Pacific Corporation,CS,2,10073310427154,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,38.63,38.63,0,0,NO CHANGE,N,,,Skin Care
88888,&Pizza,381000000,&pizza Dimple Sheet Liner Rectangular,1297941,AND187,Delta Paper,CS,1000,735153085825,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,34.07,34.07,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,&pizza Dimple Sheet Liner Oval,1297942,AND188,Delta Paper,CS,1000,55000012979424,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,45.73,45.73,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Foodservice Foil 18x500' Standard,1324706,AFW18X500,Inteplast,RL,1,762935052713,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,19.85,19.85,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Towel Microfiber 16x16 Microworks Blu,1345956,2502-B-DZ,Hospeco The Specialties Company,PK,12,787081250226,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,10.55,10.55,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,&pizza PizzaBox 7x18x2 AcmeE-Flute AndWe,1347999,ANDBOX31,Timbar,BD,50,55000013479992,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,17.23,17.23,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Scrubber Stainess Steel 12/Bx,1352898,S730/6,South Wing Hing,BX,12,55000013528980,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,7.95,7.95,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,&Pizza Paper Shopper 19.11x7.87x14.96,1356966,FS&PIZZAPAPER,Whitehall Products,CS,200,55000013569662,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,128.22,128.22,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Sm,1232940,330934,Private Label,CS,1000,10840239100211,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Md,1232941,330935,Private Label,CS,1000,10840239100228,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Lg,1232942,330936,Private Label,CS,1000,10840239100235,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake XL,1232943,330937,Private Label,CS,1000,10840239100242,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
